scramble,orientation,Step_FD_RD,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_DBL_DFR,Step_UF,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',F2 D F,B U2 R2 U2 B',B' R' D' R D B,B L2 D' L2 D B2 D' B,F' L U2 L B D2 B' L' U2 F L',D B' F L' B F',U2 B2 D B F' R' B F U2,52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,L2 U B U' L2,U2 B2 U2,D' F D,B D' R' U R D B',F2 D' F U2 F' D F U2 F,B' F' L B F' D' F2,U2 B' F' R' B' F D B2 U2,47
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,L' R F R' D',L F' L F' D2 F2 L2,B R2 B' R2,R U2 R U2 R2 U' R U,L' B' R' B L B' R B,D' L' R F L R',R' B' F D L2 D' B F' R D2,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',L U' R2 D R2 U L',D L D2,L F2 D' L',B2 R' D' B2 D R B2,F' L2 B D2 B' L' F L',D' B' F L2 B F' D',F U2 B2 L' D2 B2 U2 R' F,48
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',F',F' L2 R D L D' R' F,U B2 U2 R' U,D' L2 D L2 D,B L F L' B' L F' L',D' L' R F L R',F' U2 B2 L' D2 B2 U2 R' F',43
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L2 D2,U2 R2 B2 R' B2 R2 U2,F D' F L2 F2,L2 R2 D L R2 U' B2 U L,L R' F' L' U' F' U F R,L D2 L' R F2 R',U L U' L2 F2 R' B D' B' R F2 L,52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',U2 F L' U' L F' U2,F L2 D,L D' L D L' F2 L' F2,F U2 R U2,L F' L' U' F' U F,L2 D B' F L' B F' L2,B2 F R D R' D B2 U' L U' F2 U2 F',54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,U' R' F' R F U F',D F L F' D',F L D2,L' U B2 U B' U2 L,B' R2 B' L2 B R2 B' L2 B2,L2 D B' F L' B F' L2,F2 L2 U' F R U' R' B' R U' B U' F,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',B2 F' L F L B2,D',D' L F2 L' D,L F2 L' U2 R2 U R U,U' F' U2 F2 U F2 U F2 U2 F',D' L' R F L R',F2 L2 D' F D L' D' F' D L' F L' F,53
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',U' L' B U2 B' L U,F2 L2 F D',B' L' B D F',L2 B' L B' L' B2 L2,B F' U' F U B' L F L',B' F' L B F' D' F2,F2 L2 D' F D L' D' F' D L' F L' F,56
