scramble,orientation,Step_GEN,Step_DBL_DBR,Step_UB_UF_UL_UR,Step_FD_RD,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F',D R2 F2,D' F2 D2 F2 D L2 U' B2,L B D L F2 L' D' B' L' U2,B D2 U2 F2 D2 U2 B',R F R' B2 R F' R' B2,U' F2 L2 B2 D R2 D' B2 L2 F2 U,R U R B2 L2 D L D' L B2 R2,64
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F',R2 D' L2,B2 U2 L B2 F2 D2 U2 L' U' F2,R' D' B' R' F2 R B D R U2,B2 R' U R B2 L2 D L D' L,B L' R D' B' D L R' B' U,U F2 D' R2 D F2 U' B2,R F R' B2 R F' R' B2,66
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B L D' F2 L2 R' F',U L2,B2 F2 U B' F' L2 B F',B2 F2 D L2 D' B2 F2,D L2 D R2 D' L2 D R2 D2,D2 F2 U2 L F2 D2 B2 R,R2 U2 F2 L2 F2 L2 U2 R2,U' B2 U2 R B2 U2 B2 R' U',58
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' R2 D' B' R B' L',B2 L2,D' L' F2 L' R D2 B2 F2 R,U B2 D U2 L' D2 U2 R D B2 U',U' F' D' U L U L' D U' F,B2 L U' L' B2 R2 D' R' D R',D R2 U' F2 U R2 D' L2,R2 D2 B2 R2 B2 R2 D2 R2,65
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R',L2 D' L2,U' L2 R2 D L' F2 D2 F2 L',B2 F2 D L2 D' B2 F2,U' B2 D' U R2 D,R F R' B2 R F' R' B2,L F' L B2 L' F L' B2,U R' B2 F2 L D' L' B2 F2 R,57
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B2 R' F R B D' B L',U' B2 L2,R B2 F2 D2 F2 D2 L B2 U' F2,L2 D L' F2 U2 F2 L D' L2,U' F' D' U L U L' D U' F,B2 L U' L' B2 R2 D' R' D R',F2 D2 R B2 D2 F2 L U2,D' L2 U R2 U' L2 D B2,66
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R2 B D F2 U' F',F2 D L2,B2 L B2 F2 D L2 R2 D2 U L' D,B2 D2 F2 U2 F2 D2,R' B2 D2 F2 L' U2 F2 D2,B L' R D' B' D L R' B' U,R' F' U2 F' R F U2 F' R' F2 R,L2 U R2 D' B2 D R2 U',63
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D R2 F' R' B',U2 L2,U' R2 U' L' B2 F2 R' U',B2 D U2 L' D2 U2 R D B2,U R' F2 D2 B2 L' D2 F2 U,U' R' U R U' L U L' U B2 R B2 R',L F' L B2 L' F L' B2,U' B2 D' U R2 D,61
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D2 L B' R2 B2 R F',B2 R2,L2 R2 B2 D' R' D2 U2 L,B2 L2 B2 F2 L2 F2 U2,D2 U2 L2 D2 U2 R2,B2 R F R' B2 R F' R',B' R' B L2 B' R B L2,U' R U R B2 L2 D L D' L B2 R2 U,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B F D2 R' D F',D L2 F2,U2 L' F2 L2 R2 F' U B2 U' F' R,L B D L F2 L' D' B' L' U2,U R' F2 D2 B2 L' D2 F2 U,U' R' U R U' L U L' U B2 R B2 R',,R2 D' L2 U F2 U' L2 D,61
